r,omega_over_varpi,domega_dr_over_varpi,region
0.0,0.0025149597740750096,0.0,0
0.09886428840516029,0.0025149597740750096,0.0,0
0.19772857681032058,0.0025149597740750096,0.0,0
0.2965928652154809,0.0025149597740750096,0.0,0
0.39545715362064116,0.0025149597740750096,0.0,0
0.4943214420258014,0.0025149597740750096,0.0,0
0.5931857304309618,0.0025149597740750096,0.0,0
0.692050018836122,0.0025149597740750096,0.0,0
0.7909143072412823,0.0025149597740750096,0.0,0
0.8897785956464426,0.0025149597740750096,0.0,0
0.9886428840516028,0.0025149597740750096,0.0,0
1.087507172456763,0.0025149597740750096,0.0,0
1.1863714608619236,0.0025149597740750096,0.0,0
1.2852357492670838,0.0025149597740750096,0.0,0
1.384100037672244,0.0025149597740750096,0.0,0
1.4829643260774044,0.0025149597740750096,0.0,0
1.5818286144825646,0.0025149597740750096,0.0,0
1.6806929028877249,0.0025149597740750096,0.0,0
1.7795571912928851,0.0025149597740750096,0.0,0
1.8784214796980454,0.0025149597740750096,0.0,0
1.9772857681032057,0.0025149597740750096,0.0,0
2.076150056508366,0.0025149597740750096,0.0,0
2.175014344913526,0.0025149597740750096,0.0,0
2.2738786333186867,0.0025149597740750096,0.0,0
2.372742921723847,0.0025149597740750096,0.0,0
2.471607210129007,0.0025149597740750096,0.0,0
2.5704714985341677,0.0025149597740750096,0.0,0
2.6693357869393277,0.0025149597740750096,0.0,0
2.768200075344488,0.0025149597740750096,0.0,0
2.8670643637496482,0.0025149597740750096,0.0,0
2.9659286521548087,0.0025149597740750096,0.0,0
3.0647929405599688,0.0025149597740750096,0.0,0
3.1636572289651292,0.0025149597740750096,0.0,0
3.2625215173702897,0.0025149597740750096,0.0,0
3.3613858057754498,0.0025149597740750096,0.0,0
3.4602500941806102,0.0025149597740750096,0.0,0
3.5591143825857703,0.0025149597740750096,0.0,0
3.6579786709909308,0.0025149597740750096,0.0,0
3.756842959396091,0.0025149597740750096,0.0,0
3.8557072478012513,0.0025149597740750096,0.0,0
3.9545715362064113,0.0025149597740750096,0.0,0
4.053435824611572,0.0025149597740750096,0.0,0
4.152300113016732,0.0025149597740750096,0.0,0
4.251164401421892,0.0025149597740750096,0.0,0
