r,m,rho,p_r,p_t,DEC_slack,circular_speed_squared
12.22,0.04756553994545124,3.843912331969736e-05,0.0,7.539783183547768e-08,3.836372548786188e-05,0.00392297353966143
12.23,0.048290342582248465,3.874743006909771e-05,0.0,7.710632195537089e-08,3.867032374714234e-05,0.0039799450863124775
12.24,0.04902213090491239,3.9055711573021797e-05,0.0,7.88420846937858e-08,3.897686948832801e-05,0.004037416373601392
12.25,0.049760924194335934,3.936394860531304e-05,0.0,8.06053242554473e-08,3.9283343281057595e-05,0.004095388146328786
12.26,0.05050674138910956,3.9672121995574405e-05,0.0,8.23962426123946e-08,3.958972575296201e-05,0.004153861123011583
12.27,0.051259601084215844,3.998021263043726e-05,0.0,8.421503944610995e-08,3.989599759099115e-05,0.0042128359958744374
12.280000000000001,0.0520195215297519,4.028820145481164e-05,0.0,8.606191208994191e-08,4.0202139542721696e-05,0.004272313430842592
12.29,0.0527865206296787,4.059606947311746e-05,0.0,8.793705547183457e-08,4.050813241764563e-05,0.004332294067536075
12.3,0.053560615940600055,4.09037977504983e-05,0.0,8.984066205738368e-08,4.081395708844092e-05,0.00439277851926545
12.31,0.05434182467056555,4.121136741401538e-05,0.0,9.177292179321903e-08,4.111959449222216e-05,0.0044537673730286565
12.32,0.05513016367790427,4.151875965382483e-05,0.0,9.373402205074325e-08,4.1425025631774085e-05,0.004515261189509461
12.33,0.055925649470083445,4.1825955724336e-05,0.0,9.572414757022649e-08,4.1730231576765775e-05,0.004577260503077059
12.34,0.056728298202595256,4.2132936945352706e-05,0.0,9.774348040527845e-08,4.2035193464947424e-05,0.0046397658217870626
12.35,0.057538125677870276,4.2439684703196394e-05,0.0,9.979219986770606e-08,4.233989250332869e-05,0.004702777627383744
12.36,0.05835514734421798,4.274618045181208e-05,0.0,1.0187048247277206e-07,4.264430996933931e-05,0.004766296375303567
12.370000000000001,0.05917937829479412,4.305240571385709e-05,0.0,1.0397850188486604e-07,4.294842721197222e-05,0.004830322494679963
12.379999999999999,0.060010833266594,4.3358342081772204e-05,0.0,1.0611642886359844e-07,4.325222565290861e-05,0.0048948563883492975
12.39,0.06084952663947467,4.366397121883692e-05,0.0,1.0828443121033766e-07,4.3555686787626585e-05,0.004959898432858213
12.4,0.061695472435200044,4.396927486020659e-05,0.0,1.1048267371518789e-07,4.38587921864914e-05,0.0050254489784719095
12.41,0.06254868431651586,4.4274234813933925e-05,0.0,1.1271131810443596e-07,4.416152349582949e-05,0.005091508349183874
12.42,0.06340917558624899,4.4578832961973775e-05,0.0,1.1497052298846754e-07,4.446386243898531e-05,0.00515807684272662
12.43,0.06427695918643342,4.488305126117137e-05,0.0,1.1726044381016848e-07,4.4765790817361204e-05,0.005225154730583626
12.44,0.06515204769746251,4.518687174423474e-05,0.0,1.195812327938232e-07,4.506729051144091e-05,0.005292742258002412
12.45,0.06603445333726714,4.549027652069094e-05,0.0,1.2193303889452012e-07,4.536834348179642e-05,0.005360839644008746
12.46,0.06692418796051974,4.5793247777826435e-05,0.0,1.2431600774807558e-07,4.566893177007836e-05,0.005429447081421933
12.47,0.06782126305786386,4.60957677816119e-05,0.0,1.267302816214875e-07,4.596903749999041e-05,0.005498564736871205
12.48,0.06872568975517032,4.639781887761162e-05,0.0,1.2917599936393106e-07,4.6268642878247684e-05,0.005568192750813227
12.49,0.06963747881281782,4.6699383491876975e-05,0.0,1.3165329635830236e-07,4.656773019551867e-05,0.005638331237550598
12.5,0.070556640625,4.700044413182534e-05,0.0,1.3416230447332704e-07,4.686628182735202e-05,0.0057089802852514715
12.51,0.07148318521905729,4.730098338710348e-05,0.0,1.3670315201623873e-07,4.716428023508724e-05,0.005780139955970157
12.52,0.0724171222548342,4.7600983930436033e-05,0.0,1.392759636860396e-07,4.7461707966749995e-05,0.005851810285668765
12.530000000000001,0.07335846102406235,4.790042851845947e-05,0.0,1.418808605273551e-07,4.775854765793212e-05,0.005923991284239899
12.54,0.07430721044976694,4.819929999254075e-05,0.0,1.4451795988488535e-07,4.805478203265586e-05,0.005996682935530215
12.55,0.07526337908570162,4.849758127958258e-05,0.0,1.4718737535847762e-07,4.83503939042241e-05,0.006069885197365226
12.56,0.07622697511580341,4.8795255392812905e-05,0.0,1.4988921675880673e-07,4.86453661760541e-05,0.00614359800157472
12.57,0.077198006353677,4.9092305432561225e-05,0.0,1.5262359006369714e-07,4.893968184249753e-05,0.006217821254019463
12.58,0.0781764802421011,4.9388714587020526e-05,0.0,1.5539059737507888e-07,4.923332398964545e-05,0.006292554834618673
12.59,0.07916240385256004,4.968446613299485e-05,0.0,1.5819033687659132e-07,4.9526275796118256e-05,0.00636779859737847
12.6,0.08015578388479994,4.997954343663349e-05,0.0,1.6102290279184567e-07,4.9818520533841646e-05,0.006443552370421246
12.61,0.0811566266664096,5.027392995415155e-05,0.0,1.6388838534335405e-07,5.0110041568808196e-05,0.0065198159560160025
12.620000000000001,0.08216493815242493,5.0567609232536285e-05,0.0,1.6678687071212874e-07,5.040082236182416e-05,0.006596589130609501
12.629999999999999,0.08318072392495747,5.086056491024069e-05,0.0,1.6971844099796574e-07,5.069084646924272e-05,0.006673871644858322
12.64,0.08420398919284953,5.11527807178638e-05,0.0,1.7268317418042353e-07,5.098009754368337e-05,0.006751663223661988
12.65,0.08523473879134848,5.1444240478816924e-05,0.0,1.756811440804877e-07,5.126855933473644e-05,0.00682996356619659
12.66,0.08627297718180986,5.1734928109978075e-05,0.0,1.7871242032295517e-07,5.155621568965512e-05,0.006908772345949663
12.67,0.0873187084514214,5.202482762233252e-05,0.0,1.8177706829952282e-07,5.1843050554033e-05,0.0069880892107556745
12.68,0.0883719363129514,5.23139231216009e-05,0.0,1.8487514913259954e-07,5.21290479724683e-05,0.0070679137828324285
12.69,0.08943266410452112,5.260219880885495e-05,0.0,1.8800671963984788e-07,5.24141920892151e-05,0.007148245658818324
12.7,0.0905008947893999,5.288963898111984e-05,0.0,1.911718322994563e-07,5.269846714882038e-05,0.007229084409810377
12.71,0.0915766309558248,5.317622803196527e-05,0.0,1.943705352161595e-07,5.298185749674911e-05,0.007310429581403162
12.72,0.09265987481684154,5.346195045208304e-05,0.0,1.9760287208799874e-07,5.326434757999504e-05,0.007392280693728395
12.73,0.09375062821017138,5.374679082985328e-05,0.0,2.0086888217384583e-07,5.354592194767944e-05,0.007474637241495528
12.74,0.09484889259809876,5.403073385189854e-05,0.0,2.0416860026168295e-07,5.382656525163686e-05,0.007557498694032963
12.75,0.09595466906738283,5.431376430362535e-05,0.0,2.0750205663764978e-07,5.41062622469877e-05,0.007640864495330122
12.76,0.09706795832919192,5.459586706975452e-05,0.0,2.108692770558658e-07,5.438499779269865e-05,0.0077247340640802815
12.77,0.09818876071906077,5.487702713483967e-05,0.0,2.1427028270903166e-07,5.466275685213064e-05,0.007809106793724191
12.780000000000001,0.09931707619687025,5.515722958377381e-05,0.0,2.1770509019981275e-07,5.4939524493574e-05,0.007893982052494435
12.79,0.10045290434684885,5.543645960228461e-05,0.0,2.2117371151301265e-07,5.52152858907716e-05,0.007979359183460474
12.8,0.10159624437760009,5.5714702477418854e-05,0.0,2.2467615398855028e-07,5.5490026323430305e-05,0.008065237504574718
12.81,0.10274709512214633,5.5991943598014266e-05,0.0,2.2821242029522004e-07,5.5763731177719046e-05,0.008151616308718867
12.82,0.10390545503800112,5.6268168455161865e-05,0.0,2.3178250840527665e-07,5.6036385946756586e-05,0.008238494863751465
12.83,0.10507132220725932,5.65433626426559e-05,0.0,2.353864115698152e-07,5.630797623108608e-05,0.00832587241255586
12.84,0.10624469433671152,5.681751185743358e-05,0.0,2.390241182949735e-07,5.657848773913861e-05,0.008413748173089045
12.85,0.1074255687579797,5.709060190000392e-05,0.0,2.426956123189508e-07,5.6847906287684974e-05,0.008502121338431156
12.86,0.10861394242767439,5.7362618674865404e-05,0.0,2.464008725898476e-07,5.711621780227556e-05,0.00859099107683566
12.870000000000001,0.10980981192757512,5.763354819091376e-05,0.0,2.5013987324433836e-07,5.738340831766942e-05,0.008680356531780366
12.879999999999999,0.11101317346482971,5.790337656183844e-05,0.0,2.539125835871656e-07,5.764946397825127e-05,0.008770216822018916
12.89,0.1122240228721793,5.81720900065095e-05,0.0,2.577189680714813e-07,5.791437103843802e-05,0.008860571041633276
12.9,0.11344235560820004,5.8439674849353375e-05,0.0,2.6155898628001236e-07,5.8178115863073365e-05,0.008951418260086589
12.91,0.11466816675757023,5.870611752071912e-05,0.0,2.6543259290707937e-07,5.844068492781204e-05,0.00904275752227697
12.92,0.11590145103135636,5.897140455723412e-05,0.0,2.693397377414525e-07,5.870206481949267e-05,0.009134587848591854
12.93,0.11714220276732125,5.9235522602150124e-05,0.0,2.732803656500595e-07,5.896224223650007e-05,0.009226908234963053
12.94,0.11839041593025267,5.9498458405678825e-05,0.0,2.77254416562539e-07,5.922120398911628e-05,0.009319717652922464
12.95,0.11964608411231394,5.976019882531858e-05,0.0,2.812618254566545e-07,5.9478936999861925e-05,0.009413015049658515
12.96,0.12090920053341438,6.0020730826170466e-05,0.0,2.85302522344557e-07,5.973542830382591e-05,0.009506799348073193
12.97,0.1221797580415999,6.028004148124499e-05,0.0,2.893764322599054e-07,5.999066504898509e-05,0.009601069446839696
12.98,0.12345774911346748,6.053811797176003e-05,0.0,2.934834752458572e-07,6.024463449651417e-05,0.00969582422046097
12.99,0.12474316585459584,6.0794947587428176e-05,0.0,2.9762356634390724e-07,6.049732402108427e-05,0.009791062519328597
13.0,0.12603600000000004,6.105051772673549e-05,0.0,3.017966155836006e-07,6.0748721111151886e-05,0.009886783169782575
13.01,0.12733624291460427,6.130481589721107e-05,0.0,3.0600252797310646e-07,6.099881336923797e-05,0.009982984974171575
13.02,0.12864388559373607,6.155782971568688e-05,0.0,3.102412034906595e-07,6.124758851219623e-05,0.010079666710913955
13.030000000000001,0.1299589186636411,6.18095469085494e-05,0.0,3.1451253707687477e-07,6.149503437147253e-05,0.01017682713455943
13.04,0.13128133238201511,6.205995531198133e-05,0.0,3.1881641862792063e-07,6.17411388933534e-05,0.010274464975851173
13.05,0.13261111663856098,6.230904287219546e-05,0.0,3.23152732989579e-07,6.198589013920589e-05,0.010372578941788925
13.06,0.1339482609555601,6.255679764565875e-05,0.0,3.2752135995216055e-07,6.22292762857066e-05,0.010471167715692349
13.07,0.13529275448846717,6.280320779930866e-05,0.0,3.31922174246304e-07,6.247128562506236e-05,0.010570229957265266
13.08,0.13664458602652368,6.304826161076004e-05,0.0,3.3635504553964294e-07,6.27119065652204e-05,0.010669764302660468
13.09,0.13800374399339047,6.329194746850436e-05,0.0,3.4081983843434854e-07,6.295112763007e-05,0.010769769364545115
13.1,0.13937021644779995,6.353425387209945e-05,0.0,3.45316412465541e-07,6.318893745963392e-05,0.010870243732166779
13.11,0.1407439910842281,6.37751694323521e-05,0.0,3.4984462210058204e-07,6.342532481025153e-05,0.010971185971420142
13.120000000000001,0.14212505523358548,6.401468287149145e-05,0.0,3.544043167392348e-07,6.366027855475222e-05,0.011072594624914297
13.129999999999999,0.1435133958639261,6.42527830233344e-05,0.0,3.589953407146959e-07,6.38937876826197e-05,0.011174468212040595
13.14,0.14490899958117961,6.448945883344381e-05,0.0,3.636175332955147e-07,6.41258413001483e-05,0.011276805229041401
13.15,0.14631185262989538,6.472469935927688e-05,0.0,3.682707286883583e-07,6.435642863058852e-05,0.011379604149078978
13.16,0.14772194089401255,6.49584937703276e-05,0.0,3.7295475604167684e-07,6.458553901428593e-05,0.011482863422305487
13.17,0.14913924989764463,6.519083134826004e-05,0.0,3.7766943945022167e-07,6.481316190880982e-05,0.011586581475933326
13.18,0.15056376480588343,6.54217014870341e-05,0.0,3.824145979604372e-07,6.503928688907367e-05,0.011690756714306116
13.19,0.15199547042562295,6.565109369302419e-05,0.0,3.8719004557672755e-07,6.526390364744747e-05,0.011795387518970418
13.2,0.1534343512063999,6.587899758512934e-05,0.0,3.9199559126858193e-07,6.548700199386076e-05,0.011900472248747932
13.21,0.15488039124125386,6.610540289487669e-05,0.0,3.968310389785736e-07,6.570857185589811e-05,0.012006009239808412
13.22,0.15633357426760466,6.633029946651673e-05,0.0,4.0169618763121725e-07,6.59286032788855e-05,0.012111996805743111
13.23,0.15779388366814912,6.655367725711187e-05,0.0,4.0659083114269534e-07,6.614708642596917e-05,0.012218433237638942
13.24,0.15926130247177475,6.67755263366171e-05,0.0,4.1151475843144e-07,6.636401157818565e-05,0.012325316804153181
13.25,0.16073581335449222,6.699583688795407e-05,0.0,4.1646775342958025e-07,6.657936913452449e-05,0.012432645751588832
13.26,0.16221739864038462,6.721459920707706e-05,0.0,4.214495950952365e-07,6.679314961198183e-05,0.012540418303970539
13.27,0.163706040302576,6.743180370303305e-05,0.0,4.2646005742568167e-07,6.700534364560737e-05,0.012648632663121237
13.280000000000001,0.16520171996421573,6.764744089801379e-05,0.0,4.314989094713444e-07,6.721594198854244e-05,0.012757287008739267
13.29,0.16670441889948112,6.786150142740126e-05,0.0,4.365659153506639e-07,6.74249355120506e-05,0.012866379498476183
13.3,0.1682141180346001,6.807397603980697e-05,0.0,4.4166083426580525e-07,6.763231520554117e-05,0.012975908268015356
13.31,0.1697307979488851,6.828485559710288e-05,0.0,4.4678342051919165e-07,6.783807217658369e-05,0.013085871431150756
13.32,0.17125443887579073,6.849413107444725e-05,0.0,4.5193342353090567e-07,6.804219765091634e-05,0.01319626707986682
13.33,0.1727850207039849,6.870179356030294e-05,0.0,4.5711058785691333e-07,6.824468297244602e-05,0.013307093284418694
13.34,0.17432252297843734,6.890783425644916e-05,0.0,4.6231465320812505e-07,6.844551960324103e-05,0.013418348093413095
13.35,0.1758669249015265,6.911224447798706e-05,0.0,4.675453544702932e-07,6.864469912351677e-05,0.013530029533889933
13.36,0.1774182053341613,6.931501565333857e-05,0.0,4.728024217247311e-07,6.884221323161383e-05,0.013642135611404383
13.370000000000001,0.17897634279692137,6.951613932423901e-05,0.0,4.780855802698624e-07,6.903805374396915e-05,0.013754664310109715
13.379999999999999,0.18054131547121255,6.971560714572324e-05,0.0,4.833945506435866e-07,6.923221259507966e-05,0.013867613592840689
13.39,0.1821131012004411,6.991341088610592e-05,0.0,4.887290486464686e-07,6.942468183745945e-05,0.013980981401197662
13.4,0.18369167749120013,7.010954242695492e-05,0.0,4.940887853657275e-07,6.96154536415892e-05,0.01409476565563109
13.41,0.18527702151447756,7.030399376305951e-05,0.0,4.994734672000526e-07,6.980452029585945e-05,0.014208964255526995
13.42,0.18686911010687648,7.049675700239157e-05,0.0,5.048827958852082e-07,6.999187420650637e-05,0.014323575079292805
13.43,0.18846791977185365,7.068782436606163e-05,0.0,5.103164685204488e-07,7.017750789754118e-05,0.014438595984443964
13.44,0.19007342668097255,7.087718818826835e-05,0.0,5.157741775957231e-07,7.036141401067263e-05,0.01455402480769107
13.45,0.19168560667517326,7.106484091624242e-05,0.0,5.212556110196721e-07,7.054358530522275e-05,0.014669859365027724
13.46,0.1933044352660594,7.125077511018498e-05,0.0,5.267604521484207e-07,7.072401465803655e-05,0.014786097451819092
13.47,0.19492988763719632,7.143498344319935e-05,0.0,5.322883798151308e-07,7.090269506338422e-05,0.014902736842890806
13.48,0.19656193864543176,7.161745870121827e-05,0.0,5.378390683603585e-07,7.107961963285791e-05,0.015019775292618963
13.49,0.198200562822226,7.179819378292473e-05,0.0,5.434121876631621e-07,7.125478159526157e-05,0.015137210535020396
13.5,0.19984573437499994,7.197718169966723e-05,0.0,5.490074031729802e-07,7.142817429649425e-05,0.015255040283843693
13.51,0.20149742718849903,7.215441557537029e-05,0.0,5.54624375942282e-07,7.1599791199428e-05,0.015373262232660964
13.52,0.20315561482617087,7.232988864643845e-05,0.0,5.602627626599574e-07,7.176962588377849e-05,0.015491874054960128
13.530000000000001,0.20482027053155963,7.250359426165587e-05,0.0,5.659222156854715e-07,7.19376720459704e-05,0.015610873404237953
13.54,0.20649136722971276,7.267552588207994e-05,0.0,5.716023830837506e-07,7.210392349899618e-05,0.015730257914093587
13.55,0.20816887752860794,7.284567708092995e-05,0.0,5.773029086608238e-07,7.226837417226913e-05,0.015850025198323105
13.56,0.20985277372058717,7.301404154347044e-05,0.0,5.830234320001763e-07,7.243101811147026e-05,0.015970172851014177
13.57,0.21154302778381254,7.31806130668895e-05,0.0,5.887635884998497e-07,7.259184947838966e-05,0.016090698446641884
13.58,0.2132396113837335,7.334538556017164e-05,0.0,5.94523009410251e-07,7.275086255076139e-05,0.016211599540164986
13.59,0.21494249587456793,7.35083530439664e-05,0.0,6.003013218726821e-07,7.290805172209372e-05,0.01633287366712279
13.6,0.21665165230079986,7.366950965045086e-05,0.0,6.060981489585744e-07,7.306341150149228e-05,0.016454518343732863
13.61,0.21836705139868945,7.38288496231881e-05,0.0,6.11913109709428e-07,7.321693651347868e-05,0.016576531066989263
13.620000000000001,0.22008866359779874,7.398636731698063e-05,0.0,6.177458191774481e-07,7.336862149780318e-05,0.016698909314761538
13.629999999999999,0.22181645902252947,7.414205719771844e-05,0.0,6.235958884668621e-07,7.351846130925158e-05,0.016821650545894264
13.64,0.22355040749367927,7.429591384222315e-05,0.0,6.294629247759372e-07,7.36664509174472e-05,0.016944752200307597
13.65,0.22529047853000478,7.44479319380867e-05,0.0,6.353465314396501e-07,7.381258540664706e-05,0.017068211699097963
13.66,0.2270366413498056,7.459810628350554e-05,0.0,6.412463079730446e-07,7.395685997553248e-05,0.017192026444639956
13.67,0.22878886487251804,7.474643178711076e-05,0.0,6.471618501152464e-07,7.409926993699552e-05,0.017316193820688646
13.68,0.2305471177203227,7.489290346779283e-05,0.0,6.530927498741255e-07,7.42398107179187e-05,0.01744071119248257
13.69,0.2323113682197669,7.503751645452222e-05,0.0,6.590385955716154e-07,7.437847785895061e-05,0.017565575906847535
13.7,0.2340815844034,7.518026598616592e-05,0.0,6.649989718896725e-07,7.451526701427625e-05,0.017690785292301052
13.71,0.23585773401142096,7.532114741129849e-05,0.0,6.709734599168577e-07,7.465017395138163e-05,0.017816336659157394
13.72,0.23763978449334053,7.546015618801009e-05,0.0,6.769616371955605e-07,7.478319455081452e-05,0.017942227299633483
13.73,0.2394277030096563,7.559728788370922e-05,0.0,6.829630777698311e-07,7.49143248059394e-05,0.0180684544879554
13.74,0.24122145643354034,7.573253817492135e-05,0.0,6.889773522338242e-07,7.504356082268752e-05,0.018195015480465634
13.75,0.24302101135253906,7.586590284708378e-05,0.0,6.950040277808483e-07,7.517089881930292e-05,0.018321907515730932
13.76,0.24482633407028792,7.599737779433578e-05,0.0,7.010426682530118e-07,7.529633512608277e-05,0.01844912781465104
13.77,0.24663739060823636,7.612695901930492e-05,0.0,7.070928341914509e-07,7.541986618511347e-05,0.018576673580567964
13.780000000000001,0.24845414670738844,7.625464263288936e-05,0.0,7.131540828871494e-07,7.554148855000221e-05,0.018704541999376156
13.79,0.2502765678300506,7.63804248540355e-05,0.0,7.19225968432307e-07,7.566119888560318e-05,0.01883273023963305
13.8,0.25210461916160015,7.65043020095129e-05,0.0,7.253080417723081e-07,7.577899396774059e-05,0.018961235452670883
13.81,0.25393826561225674,7.66262705336838e-05,0.0,7.313998507582059e-07,7.58948706829256e-05,0.01909005477270861
13.82,0.2557774718188732,7.674632696826963e-05,0.0,7.375009401997823e-07,7.600882602806985e-05,0.019219185316965027
13.83,0.25762220214673515,7.686446796211361e-05,0.0,7.436108519191379e-07,7.612085711019447e-05,0.019348624185772354
13.84,0.259472420691373,7.69806902709393e-05,0.0,7.497291248048107e-07,7.623096114613449e-05,0.019478368462690656
13.85,0.2613280912803859,7.709499075710525e-05,0.0,7.558552948664177e-07,7.633913546223884e-05,0.01960841521462291
13.86,0.26318917747527854,7.720736638935657e-05,0.0,7.619888952898165e-07,7.644537749406674e-05,0.01973876149193092
13.870000000000001,0.2650556425733081,7.731781424257186e-05,0.0,7.681294564927635e-07,7.654968478607911e-05,0.01986940432855187
13.879999999999999,0.2669274496093427,7.742633149750753e-05,0.0,7.742765061810733e-07,7.665205499132646e-05,0.02000034074211558
13.89,0.2688045613577348,7.753291544053787e-05,0.0,7.804295694052731e-07,7.675248587113259e-05,0.020131567734062727
13.9,0.2706869403342001,7.763756346339144e-05,0.0,7.86588168617718e-07,7.685097529477372e-05,0.02026308228976349
13.91,0.27257454879771265,7.774027306288475e-05,0.0,7.927518237301967e-07,7.694752123915455e-05,0.020394881378637125
13.92,0.2744673487524095,7.784104184065152e-05,0.0,7.989200521719875e-07,7.704212178847954e-05,0.020526961954272338
13.93,0.2763653019495059,7.79398675028691e-05,0.0,8.050923689483682e-07,7.713477513392074e-05,0.02065932095454823
13.94,0.2782683698892218,7.803674785998153e-05,0.0,8.112682866995743e-07,7.722547957328196e-05,0.02079195530175612
13.95,0.28017651382272013,7.813168082641857e-05,0.0,8.174473157601841e-07,7.731423351065839e-05,0.020924861902722094
13.96,0.28208969475405465,7.82246644203125e-05,0.0,8.236289642189392e-07,7.740103545609356e-05,0.021058037648930293
13.97,0.28400787344212797,7.831569676321068e-05,0.0,8.298127379789691e-07,7.748588402523171e-05,0.021191479416646886
13.98,0.28593101040266344,7.840477607978524e-05,0.0,8.359981408184342e-07,7.75687779389668e-05,0.02132518406704502
13.99,0.2878590659101833,7.849190069753986e-05,0.0,8.42184674451561e-07,7.76497160230883e-05,0.02145914844633027
14.0,0.28979199999999994,7.857706904651291e-05,0.0,8.483718385900655e-07,7.772869720792285e-05,0.02159336938586702
14.01,0.2917297724702168,7.866027965897769e-05,0.0,8.545591310049563e-07,7.780572052797274e-05,0.021727843702305558
14.02,0.2936723428837385,7.874153116913982e-05,0.0,8.607460475887086e-07,7.788078512155111e-05,0.021862568197709875
14.030000000000001,0.2956196705702928,7.882082231283091e-05,0.0,8.669320824177949e-07,7.795389023041311e-05,0.02199753965968636
14.04,0.29757171462846005,7.889815192720013e-05,0.0,8.731167278155684e-07,7.802503519938456e-05,0.022132754861513088
14.05,0.2995284339277173,7.897351895040206e-05,0.0,8.792994744154941e-07,7.809421947598657e-05,0.02226821056227019
14.06,0.30148978711048435,7.904692242128194e-05,0.0,8.854798112246913e-07,7.816144261005725e-05,0.02240390350697049
14.07,0.30345573259418834,7.911836147905811e-05,0.0,8.916572256878248e-07,7.822670425337028e-05,0.022539830426691488
14.08,0.3054262285733305,7.918783536300122e-05,0.0,8.978312037512822e-07,7.829000415924994e-05,0.022675988038707625
14.09,0.3074012330215677,7.925534341211099e-05,0.0,9.040012299276729e-07,7.835134218218331e-05,0.0228123730466237
14.1,0.3093807036938001,7.932088506479011e-05,0.0,9.101667873606102e-07,7.841071827742951e-05,0.022948982140508813
14.11,0.3113645981282687,7.938445985851495e-05,0.0,9.163273578897709e-07,7.846813250062519e-05,0.023085811997031146
14.120000000000001,0.3133528736486647,7.944606742950433e-05,0.0,9.224824221162462e-07,7.852358500738809e-05,0.023222859279593708
14.129999999999999,0.3153454873662426,7.950570751238487e-05,0.0,9.2863145946813e-07,7.857707605291673e-05,0.02336012063847049
14.14,0.3173423961819485,7.956337993985408e-05,0.0,9.347739482663835e-07,7.86286059915877e-05,0.023497592710943795
14.15,0.3193435567885516,7.961908464234069e-05,0.0,9.409093657909242e-07,7.867817527654977e-05,0.023635272121442032
14.16,0.32134892567278917,7.967282164766242e-05,0.0,9.470371883469619e-07,7.872578445931546e-05,0.023773155481678555
14.17,0.3233584591175167,7.972459108068121e-05,0.0,9.53156891331547e-07,7.877143418934966e-05,0.023911239390791057
14.18,0.32537211320386894,7.977439316295608e-05,0.0,9.59267949300341e-07,7.881512521365574e-05,0.024049520435481926
14.190000000000001,0.32738984381342817,7.982222821239281e-05,0.0,9.65369836034578e-07,7.885685837635824e-05,0.024187995190159305
14.2,0.32941160663039987,7.986809664289227e-05,0.0,9.714620246082275e-07,7.889663461828404e-05,0.02432666021707883
14.21,0.331437357143801,7.991199896399551e-05,0.0,9.775439874553443e-07,7.893445497654017e-05,0.024465512066486495
14.219999999999999,0.33346705064964866,7.995393578052631e-05,0.0,9.836151964375656e-07,7.897032058408875e-05,0.024604547276761733
14.23,0.3355006422531684,7.99939077922324e-05,0.0,9.896751229118163e-07,7.900423266932058e-05,0.024743762374562134
14.24,0.3375380868709957,8.003191579342302e-05,0.0,9.957232377981074e-07,7.903619255562492e-05,0.02488315387496785
14.25,0.33957933923339834,8.006796067260516e-05,0.0,1.0017590116475249e-06,7.906620166095765e-05,0.025022718281627762
14.26,0.3416243538865013,8.010204341211719e-05,0.0,1.0077819147103326e-06,7.909426149740686e-05,0.025162452086906026
14.27,0.34367308519451745,8.013416508775987e-05,0.0,1.0137914170041844e-06,7.912037367075569e-05,0.025302351772029292
14.280000000000001,0.3457254873419882,8.016432686842606e-05,0.0,1.0197869883824656e-06,7.91445398800436e-05,0.02544241380723486
14.29,0.347781514336032,8.019253001572717e-05,0.0,1.0257680986027252e-06,7.916676191712444e-05,0.025582634651919674
14.3,0.34984112000860035,8.021877588361824e-05,0.0,1.0317342173952043e-06,7.918704166622304e-05,0.025723010754790096
14.31,0.3519042580187359,8.024306591802054e-05,0.0,1.0376848145314291e-06,7.920538110348911e-05,0.025863538554012095
14.32,0.35397088185484876,8.026540165644219e-05,0.0,1.0436193598929056e-06,7.922178229654928e-05,0.026004214477363015
14.33,0.3560409448369852,8.028578472759643e-05,0.0,1.0495373235398264e-06,7.92362474040566e-05,0.02614503494238306
14.34,0.35811440011911816,8.030421685101862e-05,0.0,1.0554381757798825e-06,7.924877867523875e-05,0.026285996356528684
14.350000000000001,0.3601912006914331,8.03206998366799e-05,0.0,1.0613213872370586e-06,7.925937844944284e-05,0.02642709511732583
14.36,0.36227129938262626,8.033523558460029e-05,0.0,1.067186428920497e-06,7.926804915567978e-05,0.026568327612524468
14.370000000000001,0.36435464886220986,8.034782608445889e-05,0.0,1.0730327722933644e-06,7.927479331216553e-05,0.02670969022025385
14.379999999999999,0.3664412016428197,8.035847341520231e-05,0.0,1.0788598893417173e-06,7.927961352586059e-05,0.0268511793091783
14.39,0.3685309100825359,8.036717974465172e-05,0.0,1.0846672526433918e-06,7.928251249200834e-05,0.026992791238654217
14.4,0.3706237263872004,8.037394732910708e-05,0.0,1.0904543354368388e-06,7.928349299367024e-05,0.027134522358887192
14.41,0.3727196026127508,8.037877851295042e-05,0.0,1.0962206116899781e-06,7.928255790126044e-05,0.02727636901109061
14.42,0.37481849066755535,8.03816757282468e-05,0.0,1.1019655561689985e-06,7.92797101720778e-05,0.027418327527644677
14.43,0.3769203423147529,8.038264149434335e-05,0.0,1.1076886445071064e-06,7.927495284983625e-05,0.02756039423225613
14.440000000000001,0.3790251091746011,8.03816784174672e-05,0.0,1.1133893532732372e-06,7.926828906419396e-05,0.027702565440118853
14.45,0.3811327427268296,8.03787891903208e-05,0.0,1.1190671600406899e-06,7.925972203028011e-05,0.027844837458075266
14.46,0.3832431943130006,8.037397659167611e-05,0.0,1.1247215434556958e-06,7.924925504822042e-05,0.02798720658477851
14.469999999999999,0.38535641513886965,8.036724348596685e-05,0.0,1.1303519833058856e-06,7.923689150266096e-05,0.02812966911085509
14.48,0.3874723562767624,8.035859282287902e-05,0.0,1.1359579605886891e-06,7.922263486229034e-05,0.028272221319068917
14.49,0.38959096866794274,8.03480276369401e-05,0.0,1.141538957579594e-06,7.92064886793605e-05,0.028414859484485223
14.5,0.39171220312499977,8.033555104710622e-05,0.0,1.1470944579003207e-06,7.91884565892059e-05,0.028557579874636103
14.51,0.3938360103342323,8.032116625634767e-05,0.0,1.1526239465868499e-06,7.916854230976082e-05,0.028700378749686284
14.52,0.3959623408580385,8.030487655123356e-05,0.0,1.1581269101573198e-06,7.914674964107624e-05,0.028843252362599638
14.530000000000001,0.3980911451373159,8.028668530151394e-05,0.0,1.1636028366797845e-06,7.912308246483415e-05,0.02898619695930684
