r,m,rho,p_r,p_t,DEC_slack,circular_speed_squared
10.61,0.00041720191706454807,1.8598318708257847e-06,0.0,3.6568635624213473e-11,1.8597953021901605e-06,3.932466821097825e-05
10.62,0.0004441221863107538,1.942910171063143e-06,0.0,4.0629081454044097e-11,1.942869541981689e-06,4.18229129263472e-05
10.63,0.0004722868309298491,2.0281126020879816e-06,0.0,4.5058137115153604e-11,2.0280675439508663e-06,4.443356554144516e-05
10.64,0.0005017306492252996,2.115448143858435e-06,0.0,4.988182704823427e-11,2.1153982620313868e-06,4.71595838385839e-05
10.65,0.0005324887402859385,2.2049251879580314e-06,0.0,5.512747675131972e-11,2.20487006048128e-06,5.000394303842387e-05
10.66,0.0005645964969030994,2.2965515460356626e-06,0.0,6.082374865622943e-11,2.2964907222870065e-06,5.296963506978468e-05
10.67,0.0005980895985317231,2.3903344581592008e-06,0.0,6.700067788524514e-11,2.3902674574813157e-06,5.605966784819094e-05
10.68,0.0006330040042953107,2.4862806010835243e-06,0.0,7.368970785618989e-11,2.486206911375668e-06,5.927706456308739e-05
10.69,0.0006693759460346165,2.584396096433742e-06,0.0,8.092372570441095e-11,2.5843151727080373e-06,6.262486297365884e-05
10.7,0.000707241921399997,2.6846865188044546e-06,0.0,8.873709749052553e-11,2.684597781706964e-06,6.610611471319338e-05
10.71,0.0007466386869873058,2.78715690377585e-06,0.0,9.716570316316174e-11,2.7870597380726867e-06,6.972388460192412e-05
10.72,0.0007876032515171968,2.8918117558473014e-06,0.0,1.0624697124631803e-10,2.891705508876055e-06,7.348124996828339e-05
10.73,0.0008301728690578497,2.9986550562895737e-06,0.0,1.1601991322141896e-10,2.9985390363763523e-06,7.73812999785162e-05
10.74,0.0008743850322908606,3.107690270915983e-06,0.0,1.2652515757452658e-10,3.1075637457584085e-06,8.142713497457624e-05
10.75,0.0009202774658203124,3.2189203577735925e-06,0.0,1.378049834796833e-10,3.218782552790113e-06,8.562186582025154e-05
10.76,0.0009678881195248837,3.3323477747550894e-06,0.0,1.499033540898065e-10,3.3321978714009994e-06,8.996861325545388e-05
10.77,0.0010172551619528909,3.4479744871320903e-06,0.0,1.6286594940705445e-10,3.4478116211826834e-06,9.447050725860847e-05
10.78,0.0010684169737601784,3.565801975010657e-06,0.0,1.7674019870509845e-10,3.565625234811952e-06,9.913068641708307e-05
10.79,0.0011214121411907423,3.6858312407097193e-06,0.0,1.915753124762498e-10,3.685639665397243e-06,0.00010395229730559302
10.8,0.0011762794496000038,3.8080628160631863e-06,0.0,2.0742231387693765e-10,3.8078553937493093e-06,0.00010893849387252121
10.81,0.0012330578770205732,3.932496769646326e-06,0.0,2.2433406964555978e-10,3.93227243557668e-06,0.00011409243683408571
10.82,0.0012917865877705467,4.059132713927468e-06,0.0,2.4236532046734955e-10,4.058890348607001e-06,0.0001194172930763063
10.83,0.0013525049261040377,4.187969812345271e-06,0.0,2.6157271076137295e-10,4.1877082396345095e-06,0.00012491623506468962
10.84,0.0014152524099040045,4.31900678631263e-06,0.0,2.82014817865459e-10,4.318724771494765e-06,0.0001305924402615863
10.85,0.0014800687244171848,4.452241922147755e-06,0.0,3.037521805953841e-10,4.4519381699671595e-06,0.00013644909055115066
10.86,0.0015469937160310818,4.58767307793314e-06,0.0,3.268473271552663e-10,4.5873462306059855e-06,0.00014248937167184503
10.87,0.001616067386092869,4.725297690303104e-06,0.0,3.513648023767147e-10,4.724946325500727e-06,0.0001487164726564249
10.88,0.0016873298847701458,4.865112781160606e-06,0.0,3.7737119426490926e-10,4.864735409966341e-06,0.00015513358527934672
10.89,0.0017608215049533628,5.007114964323853e-06,0.0,4.04935159830367e-10,5.0067100291640226e-06,0.00016174390351152975
10.9,0.001836582676200003,5.1513004521037485e-06,0.0,4.341274501858754e-10,5.1508663246535625e-06,0.00016855062298242818
10.91,0.001914653958720156,5.297665061812297e-06,0.0,4.650209348885364e-10,5.297200040877408e-06,0.0001755569404493291
10.92,0.001995076037403607,5.446204222203058e-06,0.0,4.976906255076755e-10,5.4457065315775506e-06,0.00018276605327383533
10.93,0.0020778897158882123,5.596912979844063e-06,0.0,5.322136983998841e-10,5.596380766145663e-06,0.00019018115890546232
10.94,0.00216313591066953,5.7497860054239285e-06,0.0,5.686695166731665e-10,5.749217335907255e-06,0.00019780545437229324
10.95,0.0022508556452515566,5.904817599991757e-06,0.0,6.071396513227735e-10,5.904210460340434e-06,0.00020564213577862965
10.96,0.0023410900443385117,6.0620017011314695e-06,0.0,6.477079015219696e-10,6.061353993229948e-06,0.00021369439780958004
10.97,0.0024338803280674736,6.221331889071055e-06,0.0,6.904603140515779e-10,6.220641428757004e-06,0.00022196543324251897
10.98,0.0025292678062819912,6.382801392727769e-06,0.0,7.354852018529315e-10,6.382065907525916e-06,0.0002304584324653764
10.99,0.002627293872846258,6.546403095689262e-06,0.0,7.828731616892567e-10,6.545620222527572e-06,0.00023917658300167018
11.0,0.0027280000000000004,6.712129542131754e-06,0.0,8.327170909014247e-10,6.711296825040853e-06,0.000248123069042245
11.01,0.0028314277327538538,6.879972942675612e-06,0.0,8.851122032444744e-10,6.8790878304723674e-06,0.0002573010709836471
11.02,0.0029376186833251767,7.049925180178995e-06,0.0,9.401560437920312e-10,7.048985024135203e-06,0.00026671376497308045
11.03,0.0030466145256141737,7.221977815470102e-06,0.0,9.979485028963502e-10,7.220979866967205e-06,0.000276364322459883
11.04,0.0031584569897202385,7.396122093018642e-06,0.0,1.058591829192378e-09,7.39506350118945e-06,0.00028625590975346534
11.05,0.003273187856498445,7.5723489465471e-06,0.0,1.1221906416348534e-09,7.571226755905465e-06,0.00029639168758765637
11.06,0.0033908489521559428,7.750649004582242e-06,0.0,1.1888519405580397e-09,7.749460152641685e-06,0.00030677481069138376
11.07,0.0035114821428884765,7.931012595947767e-06,0.0,1.2586851177485156e-09,7.929753910830018e-06,0.0003174084273656613
11.08,0.0036351293295565235,8.113429755198166e-06,0.0,1.3318019655217318e-09,8.112097953232644e-06,0.00032829567906678776
11.09,0.0037618324424012347,8.297890227994735e-06,0.0,1.4083166847939993e-09,8.296481911309941e-06,0.0003394396999957259
11.1,0.0038916334357999953,8.484383476424144e-06,0.0,1.4883458921420173e-09,8.482895130532002e-06,0.0003508436166935963
