R,r,m,n_r,n_t,rho,p_r,p_t,Phi_unnormalized
11.620000000000001,11.606492647344027,0.0023830980551506342,0.9994134336538754,1.001163775575136,1.0017414807031828e-06,1.1477940880895458e-10,4.653568797463578e-10,1.5021501543544726e-05
11.63,11.616496443664126,0.0024000768384307486,0.999415768411599,1.0011624465604894,1.0017411603655603e-06,1.1520483064867998e-10,4.6504819073285407e-10,1.5199191798677294e-05
11.64,11.62650020381721,0.0024170848232031353,0.9994180906677309,1.0011611229472441,1.0017408383028327e-06,1.1562751402453417e-10,4.6474035093446625e-10,1.537783635446263e-05
11.65,11.636503927925292,0.0024341220345150353,0.9994204004734945,1.0011598047109598,1.0017405145175232e-06,1.1604746956402777e-10,4.644333558070743e-10,1.555743382815818e-05
11.66,11.646507616109838,0.00245118849741354,0.9994226978798383,1.0011584918273266,1.0017401890121393e-06,1.16464707838979e-10,4.6412720083196923e-10,1.5737982841922948e-05
11.67,11.656511268491805,0.0024682842369455945,0.9994249829374511,1.0011571842721634,1.001739861789184e-06,1.1687923936784297e-10,4.638218815154295e-10,1.5919482022622166e-05
11.68,11.666514885191628,0.0024854092781579954,0.9994272556967622,1.0011558820214157,1.0017395328511535e-06,1.172910746161353e-10,4.6351739338829746e-10,1.6101930001827163e-05
11.69,11.676518466329227,0.0025025636460973906,0.9994295162079405,1.001154585051156,1.001739202200536e-06,1.1770022399579673e-10,4.6321373200449723e-10,1.6285325415815348e-05
11.7,11.686522012024007,0.002519747365810281,0.999431764520896,1.0011532933375837,1.0017388698398126e-06,1.1810669786519315e-10,4.6291089294294033e-10,1.6469666905570225e-05
11.71,11.696525522394857,0.0025369604623430215,0.9994340006852784,1.001152006857023,1.001738535771453e-06,1.185105065293274e-10,4.626088718068905e-10,1.6654953116781402e-05
11.72,11.706528997560145,0.002554202960741811,0.999436224750478,1.0011507255859242,1.0017381999979177e-06,1.1891166024005103e-10,4.623076642220578e-10,1.6841182699844477e-05
11.73,11.716532437637728,0.002571474886052708,0.999438436765625,1.0011494495008617,1.0017378625216543e-06,1.193101691950054e-10,4.620072658378693e-10,1.7028354309861242e-05
11.74,11.726535842744966,0.0025887762633216202,0.9994406367796026,1.0011481785785326,1.0017375233451078e-06,1.1970604354037472e-10,4.6170767232725716e-10,1.7216466606477458e-05
11.75,11.736539212998718,0.0026061071175943066,0.999442824841042,1.0011469127957562,1.0017371824707134e-06,1.200992933727917e-10,4.614088793868705e-10,1.7405518253933966e-05
11.76,11.746542548515324,0.0026234674739163766,0.9994450009983159,1.001145652129475,1.0017368399008939e-06,1.2048992873256136e-10,4.611108827364401e-10,1.759550792116433e-05
11.77,11.75654584941064,0.0026408573573332922,0.9994471652995525,1.0011443965567517,1.0017364956380644e-06,1.2087795961191965e-10,4.608136781189901e-10,1.778643428160947e-05
11.78,11.766549115800027,0.0026582767928903647,0.999449317792635,1.001143146054769,1.001736149684637e-06,1.2126339595312753e-10,4.605172612985087e-10,1.797829601321751e-05
11.79,11.776552347798356,0.0026757258056327566,0.9994514585252026,1.0011419006008289,1.0017358020430144e-06,1.216462476461417e-10,4.602216280643952e-10,1.8171091798443788e-05
11.8,11.786555545520011,0.0026932044206054847,0.9994535875446495,1.001140660172352,1.0017354527155918e-06,1.2202652453284972e-10,4.5992677422785987e-10,1.836482032425088e-05
11.81,11.79655870907888,0.0027107126628534064,0.9994557048981255,1.0011394247468777,1.0017351017047552e-06,1.2240423640368192e-10,4.596326956219241e-10,1.8559480282108453e-05
11.82,11.806561838588363,0.00272825055742124,0.9994578106325358,1.0011381943020632,1.0017347490128813e-06,1.227793929980349e-10,4.5933938810247927e-10,1.8755070367993495e-05
11.83,11.816564934161375,0.00274581812935355,0.9994599047945412,1.0011369688156821,1.0017343946423332e-06,1.2315200400681258e-10,4.590468475463807e-10,1.8951589282390166e-05
11.84,11.82656799591035,0.0027634154036947525,0.9994619874305689,1.001135748265625,1.0017340385954732e-06,1.2352207907009696e-10,4.587550698546242e-10,1.914903573013594e-05
11.85,11.836571023947256,0.002781042405489112,0.9994640585868099,1.0011345326298955,1.0017336808746529e-06,1.2388962778223022e-10,4.5846405094811084e-10,1.9347408420470146e-05
11.86,11.846574018383563,0.002798699159780745,0.9994661183092108,1.0011333218866147,1.0017333214822124e-06,1.2425465968482675e-10,4.5817378677039987e-10,1.9546706067126626e-05
11.870000000000001,11.856576979330281,0.002816385691613619,0.9994681666434885,1.0011321160140165,1.001732960420487e-06,1.2461718427376117e-10,4.5788427328601455e-10,1.9746927388157787e-05
11.88,11.86657990689795,0.0028341020260315435,0.9994702036351287,1.0011309149904473,1.0017325976918043e-06,1.2497721099641545e-10,4.5759550648234807e-10,1.994807110593429e-05
11.89,11.876582801196644,0.0028518481880781847,0.9994722293293873,1.001129718794366,1.001732233298486e-06,1.253347492544318e-10,4.573074823671224e-10,2.015013594714528e-05
11.9,11.886585662335976,0.0028696242027970577,0.9994742437712896,1.0011285274043435,1.0017318672428462e-06,1.2568980840095978e-10,4.5702019697029405e-10,2.035312064279823e-05
11.91,11.896588490425087,0.0028874300952315243,0.9994762470056304,1.0011273407990624,1.0017314995271902e-06,1.260423977421386e-10,4.5673364634257197e-10,2.055702392821899e-05
11.92,11.906591285572656,0.0029052658904247983,0.9994782390769742,1.0011261589573157,1.0017311301538137e-06,1.2639252653540313e-10,4.5644782655435854e-10,2.0761844543051778e-05
11.93,11.916594047886894,0.002923131613419941,0.9994802200296551,1.0011249818580068,1.001730759125e-06,1.267402039920249e-10,4.561627336982908e-10,2.096758123125918e-05
11.94,11.926596777475565,0.0029410272892598636,0.9994821899077875,1.0011238094801485,1.001730386443032e-06,1.2708543927753567e-10,4.5587836388754624e-10,2.117423274097598e-05
11.95,11.93659947444598,0.002958952942987325,0.9994841487552623,1.0011226418028607,1.0017300121101815e-06,1.2742824151172743e-10,4.5559471325584303e-10,2.1381797824555286e-05
11.96,11.946602138904987,0.0029769085996449373,0.9994860966157412,1.0011214788053737,1.0017296361287098e-06,1.2776861976674656e-10,4.5531177795743983e-10,2.1590275238656575e-05
11.97,11.956604770958986,0.0029948942842751513,0.9994880335326684,1.0011203204670234,1.0017292585008732e-06,1.2810658306963494e-10,4.5502955416523e-10,2.179966374407834e-05
11.98,11.966607370713936,0.003012910021920275,0.9994899595492712,1.0011191667672528,1.0017288792289214e-06,1.2844214040423576e-10,4.5474803807561214e-10,2.200996210575818e-05
11.99,11.976609938275358,0.003030955837622463,0.9994918747085595,1.0011180176856098,1.0017284983150974e-06,1.2877530070822893e-10,4.544672259025607e-10,2.2221169092772634e-05
12.0,11.986612473748322,0.003049031756423716,0.9994937790533261,1.0011168732017488,1.001728115761638e-06,1.2910607287630743e-10,4.54187113882073e-10,2.2433283478337243e-05
12.01,11.996614977237462,0.003067137803365884,0.9994956726261467,1.0011157332954284,1.0017277315707706e-06,1.2943446575721269e-10,4.5390769826856935e-10,2.2646304039806535e-05
12.02,12.006617448846963,0.0030852740034906655,0.9994975554693797,1.0011145979465117,1.0017273457447133e-06,1.2976048815542868e-10,4.5362897533637537e-10,2.2860229558674022e-05
12.030000000000001,12.016619888680575,0.00310344038183961,0.9994994276251662,1.0011134671349662,1.0017269582856748e-06,1.300841488292761e-10,4.5335094137951014e-10,2.307505882057225e-05
12.04,12.02662229684161,0.0031216369634541013,0.9995012891354406,1.001112340840861,1.0017265691958586e-06,1.3040545649578273e-10,4.5307359271168627e-10,2.3290790615133683e-05
12.05,12.036624673432962,0.003139863773375394,0.9995031400419262,1.0011112190443687,1.0017261784774633e-06,1.3072441982856597e-10,4.5279692566652164e-10,2.3507423736035e-05
12.06,12.046627018557075,0.0031581208366445665,0.9995049803861303,1.001110101725763,1.0017257861326733e-06,1.3104104745677398e-10,4.525209365956336e-10,2.3724956981080164e-05
12.07,12.056629332315973,0.0031764081783025597,0.9995068102093556,1.0011089888654194,1.0017253921636701e-06,1.3135534796614446e-10,4.52245621870333e-10,2.3943389152041938e-05
12.08,12.066631614811262,0.0031947258233901562,0.9995086295526993,1.0011078804438125,1.001724996572627e-06,1.3166732990175754e-10,4.519709778822595e-10,2.4162719054661564e-05
12.09,12.076633866144123,0.0032130737969479867,0.9995104384570543,1.0011067764415171,1.0017245993617136e-06,1.319770017663417e-10,4.516970010397816e-10,2.4382945498648797e-05
12.1,12.086636086415316,0.003231452124016528,0.9995122369631088,1.001105676839208,1.0017242005330918e-06,1.322843720196385e-10,4.51423687773079e-10,2.4604067297681893e-05
12.11,12.096638275725184,0.003249860829636105,0.9995140251113456,1.0011045816176574,1.0017238000889141e-06,1.3258944908052018e-10,4.511510345275779e-10,2.4826083269407634e-05
12.120000000000001,12.106640434173643,0.0032682999388468914,0.9995158029420432,1.0011034907577372,1.0017233980313254e-06,1.3289224132466026e-10,4.5087903777115094e-10,2.504899223544135e-05
12.129999999999999,12.116642561860187,0.003286769476688896,0.9995175704952752,1.001102404240417,1.0017229943624603e-06,1.331927570855924e-10,4.5060769398607026e-10,2.5272793021366725e-05
12.14,12.126644658883915,0.003305269468201996,0.9995193278109198,1.0011013220467626,1.0017225890844504e-06,1.3349100465661618e-10,4.5033699967536035e-10,2.5497484456604163e-05
12.15,12.136646725343502,0.003323799938425892,0.9995210749286564,1.0011002441579366,1.0017221821994209e-06,1.337869922899501e-10,4.500669513611039e-10,2.572306537445196e-05
12.16,12.146648761337211,0.003342360912400145,0.9995228118879604,1.0010991705551977,1.001721773709483e-06,1.3408072819630803e-10,4.4979754558126557e-10,2.5949534612166228e-05
12.17,12.156650766962906,0.0033609524151641578,0.9995245387281143,1.0010981012198994,1.0017213636167456e-06,1.34372220545958e-10,4.4952877889223284e-10,2.617689101080959e-05
12.18,12.166652742318044,0.003379574471757179,0.999526255488207,1.0010970361334905,1.0017209519233129e-06,1.3466147746978107e-10,4.492606478705103e-10,2.6405133415251098e-05
12.19,12.176654687499685,0.0033982271072183043,0.9995279622071342,1.0010959752775133,1.0017205386312806e-06,1.3494850705990647e-10,4.4899314910869623e-10,2.6634260674166232e-05
12.2,12.186656602604486,0.003416910346586473,0.9995296589235986,1.0010949186336031,1.0017201237427388e-06,1.3523331736653534e-10,4.487262792176e-10,2.686427164003689e-05
12.21,12.196658487728708,0.0034356242149004754,0.9995313456761095,1.0010938661834892,1.0017197072597694e-06,1.3551591640259936e-10,4.484600348258187e-10,2.7095165169151448e-05
12.22,12.206660342968203,0.0034543687371989358,0.9995330225029828,1.0010928179089937,1.0017192891844472e-06,1.3579631213889032e-10,4.4819441257931363e-10,2.732694012160458e-05
12.23,12.216662168418425,0.0034731439385203354,0.9995346894423415,1.0010917737920308,1.0017188695188357e-06,1.3607451250744826e-10,4.47929409140775e-10,2.7559595361297512e-05
12.24,12.226663964174447,0.0034919498439029964,0.9995363465321239,1.0010907338146062,1.001718448264997e-06,1.363505254024085e-10,4.4766502119152773e-10,2.7793129755812235e-05
12.25,12.236665730330948,0.0035107864783850864,0.9995379938100809,1.0010896979588157,1.0017180254249856e-06,1.3662435867830753e-10,4.4740124542899033e-10,2.802754217645126e-05
12.26,12.246667466982206,0.0035296538670046185,0.9995396313137711,1.0010886662068468,1.0017176010008444e-06,1.3689602015135365e-10,4.471380785681573e-10,2.8262831498313215e-05
12.27,12.25666917422212,0.00354855203479945,0.9995412590805707,1.0010876385409762,1.0017171749946133e-06,1.3716551759857986e-10,4.468755173405402e-10,2.8498996600149086e-05
12.280000000000001,12.266670852144209,0.0035674810068072865,0.9995428771476731,1.0010866149435698,1.0017167474083255e-06,1.374328587618673e-10,4.466135584964972e-10,2.873603636436216e-05
12.29,12.276672500841602,0.003586440808065664,0.9995444855520895,1.001085595397082,1.0017163182440096e-06,1.3769805134286305e-10,4.4635219880015063e-10,2.8973949677007808e-05
12.3,12.28667412040706,0.003605431463611987,0.9995460843306491,1.0010845798840557,1.0017158875036867e-06,1.3796110300827406e-10,4.460914350359517e-10,2.9212735427793947e-05
12.31,12.296675710932947,0.0036244529984834815,0.999547673519998,1.0010835683871218,1.001715455189371e-06,1.3822202138584379e-10,4.458312640016923e-10,2.9452392510080443e-05
12.32,12.306677272511257,0.0036435054377172297,0.9995492531566004,1.0010825608889982,1.0017150213030689e-06,1.3848081406477567e-10,4.4557168251379917e-10,2.9692919820879586e-05
12.33,12.316678805233597,0.0036625888063501573,0.9995508232767378,1.001081557372491,1.0017145858467773e-06,1.3873748859848603e-10,4.4531268740436904e-10,2.993431626085588e-05
12.34,12.32668030919121,0.003681703129419031,0.9995523839165178,1.001080557820491,1.00171414882249e-06,1.3899205250312172e-10,4.450542755207453e-10,3.0176580734206543e-05
12.35,12.336681784474962,0.0037008484319604636,0.9995539351118709,1.0010795622159758,1.001713710232195e-06,1.392445132588307e-10,4.4479644372869427e-10,3.0419712148699323e-05
12.36,12.346683231175344,0.0037200247390109104,0.9995554768985457,1.0010785705420084,1.0017132700778694e-06,1.3949487830870322e-10,4.445391889085936e-10,3.0663709415744405e-05
12.370000000000001,12.356684649382485,0.003739232075606675,0.999557009312119,1.001077582781736,1.0017128283614853e-06,1.397431550591954e-10,4.442825079573381e-10,3.090857145025767e-05
12.379999999999999,12.366686039186142,0.0037584704667838888,0.999558532387995,1.00107659891839,1.0017123850850112e-06,1.3998935088267021e-10,4.440263977870692e-10,3.1154297170660374e-05
12.39,12.376687400675719,0.0037777399375785526,0.9995600461614056,1.0010756189352858,1.0017119402504081e-06,1.4023347311591532e-10,4.437708553279277e-10,3.1400885498879595e-05
12.4,12.386688733940247,0.003797040513026484,0.9995615506674107,1.0010746428158221,1.0017114938596338e-06,1.4047552905929594e-10,4.4351587752339517e-10,3.1648335360347666e-05
12.41,12.396690039068398,0.00381637221816336,0.9995630459408977,1.0010736705434802,1.0017110459146353e-06,1.4071552597844892e-10,4.432614613341057e-10,3.1896645684002624e-05
12.42,12.406691316148484,0.003835735078024695,0.9995645320165819,1.0010727021018242,1.001710596417354e-06,1.409534711036475e-10,4.4300760373615166e-10,3.214581540228799e-05
12.43,12.416692565268448,0.003855129117645849,0.9995660089290062,1.0010717374745006,1.0017101453697228e-06,1.4118937162831899e-10,4.4275430172002496e-10,3.239584345115284e-05
12.44,12.426693786515886,0.003874554362062022,0.999567476712549,1.0010707766452371,1.0017096927736715e-06,1.4142323471349168e-10,4.4250155229294647e-10,3.264672876993798e-05
12.45,12.43669497997804,0.003894010836308258,0.9995689354014217,1.0010698195978418,1.0017092386311227e-06,1.4165506748419496e-10,4.422493524767483e-10,3.2898470301411987e-05
12.46,12.446696145741788,0.003913498565419448,0.999570385029664,1.0010688663162044,1.0017087829439904e-06,1.4188487703157692e-10,4.4199769930766225e-10,3.3151066991839696e-05
12.47,12.456697283893664,0.003933017574430313,0.9995718256311527,1.0010679167842937,1.0017083257141817e-06,1.421126704129043e-10,4.4174658983928414e-10,3.340451779085178e-05
12.48,12.466698394519854,0.003952567888375428,0.9995732572396021,1.0010669709861588,1.0017078669436036e-06,1.4233845465071553e-10,4.414960211377036e-10,3.36588216514449e-05
12.49,12.4766994777062,0.003972149532289204,0.9995746798885635,1.001066028905927,1.001707406634154e-06,1.4256223673536175e-10,4.412459902863745e-10,3.391397752998156e-05
12.5,12.486700533538196,0.003991762531205899,0.9995760936114256,1.0010650905278047,1.0017069447877253e-06,1.4278402362415983e-10,4.409964943829384e-10,3.416998438619012e-05
12.51,12.496701562100988,0.004011406910159607,0.9995774984414144,1.0010641558360762,1.001706481406204e-06,1.4300382223927478e-10,4.4074753053795413e-10,3.4426841183164796e-05
12.52,12.506702563479381,0.004031082694184267,0.9995788944115931,1.0010632248151041,1.0017060164914683e-06,1.4322163947068435e-10,4.4049909587934477e-10,3.4684546887365684e-05
12.530000000000001,12.51670353775783,0.004050789908313665,0.9995802815548618,1.0010622974493293,1.0017055500453894e-06,1.4343748217321442e-10,4.4025118754816235e-10,3.49431004686188e-05
12.54,12.526704485020455,0.00407052857758141,0.9995816599039656,1.001061373723268,1.001705082069835e-06,1.4365135717077417e-10,4.4000380270007024e-10,3.520250090000746e-05
12.55,12.536705405351045,0.004090298727020981,0.9995830294914914,1.0010604536215137,1.0017046125666653e-06,1.4386327125508553e-10,4.397569385059784e-10,3.5462747157907125e-05
12.56,12.546706298833037,0.0041101003816656715,0.999584390349864,1.0010595371287363,1.0017041415377342e-06,1.4407323118271857e-10,4.39510592149714e-10,3.572383822204992e-05
12.57,12.556707165549543,0.004129933566548631,0.9995857425113543,1.0010586242296808,1.0017036689848887e-06,1.4428124368017368e-10,4.3926476083056264e-10,3.59857730754011e-05
12.58,12.566708005583342,0.004149798306702845,0.9995870860080796,1.0010577149091673,1.0017031949099718e-06,1.4448731544197575e-10,4.390194417619977e-10,3.624855070415874e-05
12.59,12.576708819016885,0.004169694627161141,0.9995884208720028,1.0010568091520906,1.0017027193148232e-06,1.4469145313025068e-10,4.387746321714685e-10,3.651217009775372e-05
12.6,12.586709605932292,0.004189622552956189,0.9995897471349338,1.0010559069434195,1.0017022422012745e-06,1.4489366337578412e-10,4.385303292997653e-10,3.67766302488498e-05
12.61,12.596710366411354,0.0042095821091204955,0.9995910648285277,1.0010550082681968,1.0017017635711503e-06,1.4509395277886858e-10,4.382865304025013e-10,3.704193015334358e-05
12.620000000000001,12.606711100535533,0.0042295733206864135,0.9995923739842866,1.0010541131115398,1.0017012834262716e-06,1.4529232790633872e-10,4.380432327501129e-10,3.730806881036455e-05
12.629999999999999,12.61671180838595,0.0042495962126861235,0.9995936746335582,1.0010532214586383,1.0017008017684485e-06,1.4548879529284199e-10,4.378004336234125e-10,3.757504522227484e-05
12.64,12.626712490043431,0.004269650810151669,0.9995949668075432,1.0010523332947547,1.0017003185994892e-06,1.456833614450737e-10,4.375581303210003e-10,3.7842858394566536e-05
12.65,12.636713145588459,0.004289737138114909,0.9995962505372935,1.0010514486052238,1.001699833921196e-06,1.458760328369067e-10,4.373163201524879e-10,3.811150733589368e-05
12.66,12.6467137751012,0.004309855221607559,0.9995975258537072,1.001050567375452,1.0016993477353622e-06,1.4606681591108534e-10,4.370750004412512e-10,3.8380991058134927e-05
12.67,12.656714378661498,0.004330005085661168,0.9995987927875369,1.001049689590918,1.0016988600437778e-06,1.462557170807078e-10,4.368341685257009e-10,3.8651308576275067e-05
12.68,12.666714956348887,0.004350186755307126,0.9996000513693901,1.0010488152371704,1.0016983708482267e-06,1.4644274272880263e-10,4.3659382175631795e-10,3.8922458908404994e-05
12.69,12.676715508242589,0.004370400255576661,0.9996013016297286,1.0010479442998286,1.00169788015049e-06,1.4662789920790518e-10,4.3635395749713583e-10,3.919444107572172e-05
12.7,12.686716034421506,0.004390645611500844,0.9996025435988686,1.001047076764582,1.0016973879523414e-06,1.4681119284175166e-10,4.3611457312552877e-10,3.946725410252836e-05
12.71,12.696716534964228,0.004410922848110585,0.9996037773069809,1.0010462126171906,1.001696894255549e-06,1.4699262992294984e-10,4.358756660326353e-10,3.9740897016234175e-05
12.72,12.706717009949028,0.004431231990436623,0.9996050027840909,1.0010453518434834,1.001696399061874e-06,1.4717221671488485e-10,4.356372336227229e-10,4.0015368847354395e-05
12.73,12.716717459453866,0.004451573063509552,0.9996062200600786,1.0010444944293593,1.0016959023730719e-06,1.473499594496016e-10,4.3539927331107063e-10,4.02906686295105e-05
12.74,12.726717883556402,0.004471946092359794,0.9996074291646845,1.0010436403607845,1.0016954041908915e-06,1.4752586433161645e-10,4.351617825279922e-10,4.056679539933161e-05
12.75,12.736718282333984,0.004492351102017617,0.9996086301275083,1.0010427896237948,1.0016949045170795e-06,1.4769993753622306e-10,4.349247587171422e-10,4.0843748196485766e-05
12.76,12.746718655863651,0.004512788117513122,0.9996098229780047,1.0010419422044934,1.0016944033533733e-06,1.4787218520843374e-10,4.346881993325514e-10,4.112152606373905e-05
12.77,12.756719004222138,0.004533257163876252,0.9996110077454904,1.0010410980890514,1.0016939007015057e-06,1.4804261346488514e-10,4.3445210184265e-10,4.140012804684292e-05
12.780000000000001,12.766719327485886,0.00455375826613679,0.9996121844591448,1.0010402572637063,1.0016933965632054e-06,1.4821122839405009e-10,4.3421646372836206e-10,4.167955319453424e-05
12.79,12.776719625731026,0.004574291449324346,0.9996133531480096,1.001039419714762,1.0016928909401957e-06,1.4837803605623757e-10,4.3398128248331707e-10,4.1959800558534926e-05
12.8,12.786719899033402,0.0045948567384683885,0.9996145138409889,1.0010385854285901,1.0016923838341969e-06,1.4854304248274568e-10,4.3374655561385004e-10,4.224086919355257e-05
12.81,12.796720147468545,0.004615454158598204,0.9996156665668489,1.001037754391627,1.0016918752469198e-06,1.4870625367776747e-10,4.335122806379427e-10,4.252275815727972e-05
12.82,12.806720371111695,0.004636083734742926,0.9996168113542184,1.0010369265903751,1.0016913651800716e-06,1.4886767561521455e-10,4.332784550862822e-10,4.2805466510394416e-05
12.83,12.816720570037786,0.00465674549193153,0.9996179482315887,1.0010361020114036,1.0016908536353518e-06,1.4902731424168174e-10,4.3304507650226127e-10,4.3088993316559964e-05
12.84,12.826720744321468,0.004677439455192822,0.999619077227319,1.0010352806413447,1.001690340614456e-06,1.4918517547644703e-10,4.328121424413428e-10,4.3373337642331127e-05
12.85,12.836720894037098,0.004698165649555448,0.9996201983696353,1.001034462466896,1.001689826119075e-06,1.4934126521125983e-10,4.3257965047063647e-10,4.3658498557183914e-05
12.86,12.846721019258728,0.004718924100047895,0.9996213116866263,1.0010336474748198,1.0016893101508924e-06,1.4949558930928222e-10,4.323475981699573e-10,4.394447513357197e-05
12.870000000000001,12.856721120060135,0.004739714831698485,0.9996224172062502,1.0010328356519413,1.001688792711586e-06,1.4964815360720646e-10,4.3211598313097895e-10,4.4231266446819195e-05
12.879999999999999,12.866721196514792,0.004760537869535368,0.9996235149563355,1.0010320269851503,1.0016882738028324e-06,1.4979896391504332e-10,4.318848029568099e-10,4.451887157511939e-05
12.89,12.876721248695906,0.004781393238586552,0.9996246049645798,1.001031221461398,1.0016877534263003e-06,1.4994802601463967e-10,4.316540552638994e-10,4.480728959953685e-05
12.9,12.886721276676385,0.0048022809638798595,0.9996256872585509,1.0010304190676995,1.0016872315836563e-06,1.500953456626432e-10,4.3142373767886116e-10,4.5096519604005584e-05
12.91,12.896721280528853,0.004823201070442963,0.999626761865686,1.0010296197911321,1.001686708276558e-06,1.5024092858817299e-10,4.311938478414379e-10,4.538656067532997e-05
12.92,12.906721260325648,0.004844153583303369,0.9996278288132923,1.0010288236188356,1.00168618350666e-06,1.503847804936666e-10,4.3096438340217194e-10,4.5677411903184416e-05
12.93,12.916721216138825,0.004865138527488421,0.9996288881285463,1.0010280305380117,1.0016856572756078e-06,1.5052690705339777e-10,4.3073534202431116e-10,4.596907238011345e-05
12.94,12.926721148040158,0.004886155928025298,0.9996299398385003,1.001027240535923,1.0016851295850457e-06,1.5066731391728798e-10,4.3050672138063254e-10,4.626154120144222e-05
12.95,12.936721056101145,0.004907205809941016,0.9996309839700801,1.0010264535998936,1.001684600436612e-06,1.5080600670900075e-10,4.3027851915767734e-10,4.6554817465304895e-05
12.96,12.946720940393002,0.00492828819826243,0.9996320205500814,1.001025669717308,1.001684069831937e-06,1.50942991024671e-10,4.300507330517277e-10,4.6848900272698494e-05
12.97,12.95672080098666,0.004949403118016223,0.9996330496051767,1.001024888875612,1.0016835377726486e-06,1.5107827243502265e-10,4.2982336077177124e-10,4.714378872738021e-05
12.98,12.966720637952792,0.004970550594228921,0.999634071161915,1.00102411106231,1.0016830042603689e-06,1.5121185648685098e-10,4.2959640003674826e-10,4.743948193586761e-05
12.99,12.976720451361784,0.004991730651926885,0.9996350852467224,1.001023336264967,1.0016824692967179e-06,1.513437486996344e-10,4.29369848577881e-10,4.773597900743846e-05
13.0,12.986720241283761,0.005012943316136309,0.9996360918859011,1.0010225644712067,1.0016819328833075e-06,1.5147395456871096e-10,4.2914370413782664e-10,4.803327905413077e-05
13.01,12.996720007788564,0.005034188611883225,0.9996370911056303,1.001021795668713,1.0016813950217476e-06,1.5160247956273709e-10,4.2891796446961855e-10,4.8331381190742764e-05
13.02,13.00671975094577,0.0050554665641935,0.9996380829319655,1.0010210298452278,1.0016808557136386e-06,1.517293291268641e-10,4.2869262733793677e-10,4.8630284534832924e-05
13.030000000000001,13.016719470824675,0.00507677719809284,0.9996390673908393,1.0010202669885522,1.0016803149605784e-06,1.5185450867807944e-10,4.28467690517414e-10,4.892998820672e-05
13.04,13.026719167494313,0.0050981205386067706,0.9996400445080659,1.0010195070865444,1.0016797727641582e-06,1.5197802361071244e-10,4.282431517945414e-10,4.923049132939738e-05
13.05,13.036718841023461,0.005119496610760681,0.9996410143093398,1.0010187501271215,1.001679229125967e-06,1.5209987929474023e-10,4.2801900896703326e-10,4.953179302856078e-05
13.06,13.046718491480611,0.005140905439579767,0.9996419768202326,1.0010179960982573,1.0016786840475845e-06,1.5222008107261137e-10,4.277952598414978e-10,4.9833892432658773e-05
13.07,13.056718118933999,0.0051623470500890755,0.9996429320661993,1.0010172449879837,1.0016781375305894e-06,1.5233863426559858e-10,4.27571902237884e-10,5.0136788672795666e-05
13.08,13.066717723451601,0.005183821467313482,0.9996438800725774,1.0010164967843884,1.0016775895765544e-06,1.524555441680813e-10,4.273489339850346e-10,5.0440480882731054e-05
13.09,13.076717305101134,0.0052053287162777,0.9996448208645882,1.0010157514756157,1.0016770401870471e-06,1.525708160526279e-10,4.271263529234391e-10,5.0744968198879936e-05
13.1,13.086716863950048,0.005226868822006275,0.9996457544673358,1.0010150090498666,1.0016764893636338e-06,1.5268445516597216e-10,4.269041569031162e-10,5.1050249760312686e-05
13.11,13.096716400065539,0.005248441809523587,0.9996466809058078,1.0010142694953976,1.0016759371078721e-06,1.5279646673218982e-10,4.266823437859429e-10,5.135632470875507e-05
13.120000000000001,13.106715913514538,0.005270047703853854,0.9996476002048744,1.0010135328005214,1.0016753834213157e-06,1.5290685594973382e-10,4.264609114435372e-10,5.1663192188588296e-05
13.129999999999999,13.116715404363712,0.005291686530021116,0.9996485123892893,1.001012798953606,1.0016748283055113e-06,1.5301562799397548e-10,4.2623985775768145e-10,5.1970851346848716e-05
13.14,13.126714872679484,0.0053133583130492695,0.9996494174836945,1.0010120679430743,1.0016742717620038e-06,1.5312278801678093e-10,4.2601918062116943e-10,5.227930133314695e-05
13.15,13.13671431852802,0.005335063077962021,0.9996503155126181,1.0010113397574036,1.0016737137923325e-06,1.532283411462994e-10,4.257988779356888e-10,5.2588541299692995e-05
13.16,13.146713741975221,0.005356800849782925,0.9996512065004719,1.0010106143851265,1.00167315439803e-06,1.533322924873867e-10,4.255789476152091e-10,5.289857040134578e-05
13.17,13.156713143086748,0.005378571653535366,0.9996520904715571,1.0010098918148287,1.0016725935806249e-06,1.5343464712096995e-10,4.253593875819586e-10,5.320938779551957e-05
13.18,13.166712521928002,0.0054003755142425615,0.9996529674500642,1.0010091720351506,1.001672031341643e-06,1.535354101057417e-10,4.2514019577002386e-10,5.352099264218393e-05
13.19,13.176711878564143,0.005422212456927563,0.9996538374600726,1.0010084550347855,1.0016714676826065e-06,1.5363458647815983e-10,4.2492137012175015e-10,5.3833384103863676e-05
13.2,13.18671121306008,0.0054440825066132525,0.9996547005255515,1.0010077408024798,1.0016709026050305e-06,1.5373218125096534e-10,4.247029085913411e-10,5.414656134563896e-05
13.21,13.196710525480473,0.005465985688322354,0.9996555566703589,1.0010070293270332,1.0016703361104275e-06,1.5382819941424107e-10,4.244848091414708e-10,5.446052353514525e-05
13.22,13.206709815889727,0.005487922027077408,0.9996564059182423,1.0010063205972983,1.0016697682003029e-06,1.5392264593583525e-10,4.242670697462481e-10,5.477526984257316e-05
13.23,13.216709084352006,0.005509891547900804,0.9996572482928384,1.0010056146021804,1.001669198876158e-06,1.5401552575903217e-10,4.240496883871935e-10,5.509079944066876e-05
