R,r,m,n_r,n_t,rho,p_r,p_t,Phi_unnormalized
10.84,10.826074120978092,0.0011466646337085116,0.9991881052187949,1.0012863276998005,1.0017609289433078e-06,7.218498157429211e-11,4.924698774665591e-10,4.224047799387892e-06
10.85,10.836081162597194,0.0011614428830520633,0.9991915978088495,1.0012844899548048,1.0017607517313345e-06,7.28618688693793e-11,4.920786435568865e-10,4.322611024437615e-06
10.86,10.846088156652797,0.001176248379758808,0.9991950729282705,1.001282659991904,1.001760572566687e-06,7.353498846260248e-11,4.916887036223897e-10,4.422253071446349e-06
10.87,10.856095103318014,0.0011910811488871126,0.9991985306550812,1.0012808377735873,1.0017603914527161e-06,7.420435649142161e-11,4.913000506265543e-10,4.522972109802607e-06
10.88,10.866102002765164,0.0012059412154952081,0.9992019710668767,1.0012790232625555,1.0017602083927638e-06,7.486998900795808e-11,4.909126775743705e-10,4.624766315640223e-06
10.89,10.87610885516577,0.0012208286046411798,0.9992053942408233,1.0012772164217199,1.0017600233901622e-06,7.553190197412426e-11,4.905265775112741e-10,4.727633871838277e-06
10.9,10.88611566069057,0.0012357433413829825,0.999208800253659,1.0012754172142013,1.0017598364482313e-06,7.619011126479989e-11,4.901417435210295e-10,4.831572968021204e-06
10.91,10.896122419509503,0.00125068545077843,0.9992121891816934,1.0012736256033292,1.0017596475702752e-06,7.684463266698504e-11,4.897581687305996e-10,4.936581800558724e-06
10.92,10.90612913179172,0.0012656549578851986,0.9992155611008077,1.001271841552641,1.0017594567595846e-06,7.749548187810605e-11,4.893758463025227e-10,5.042658572565856e-06
10.93,10.91613579770558,0.0012806518877608254,0.9992189160864544,1.0012700650258797,1.0017592640194296e-06,7.814267450792134e-11,4.889947694399945e-10,5.149801493902924e-06
10.94,10.92614241741868,0.001295676265462709,0.9992222542136795,1.0012682959869925,1.001759069353078e-06,7.87862260827566e-11,4.886149313858099e-10,5.258008780925771e-06
10.95,10.93614899109785,0.0013107281160481094,0.9992255755571147,1.001266534400128,1.0017588727637838e-06,7.942615204508125e-11,4.882363254213034e-10,5.3672786565640095e-06
10.96,10.94615551890913,0.0013258074645741504,0.9992288801909649,1.001264780229639,1.001758674254781e-06,8.006246774673217e-11,4.878589448657144e-10,5.477609350471823e-06
10.97,10.956162001017807,0.001340914336097809,0.9992321681890334,1.0012630334400776,1.0017584738292958e-06,8.069518845886638e-11,4.874827830766106e-10,5.588999098742469e-06
10.98,10.966168437588422,0.0013560487556759301,0.9992354396247217,1.0012612939961936,1.0017582714905469e-06,8.132432937026692e-11,4.871078334496761e-10,5.701446143908171e-06
10.99,10.976174828784767,0.0013712107483652171,0.9992386945710299,1.0012595618629339,1.001758067241742e-06,8.19499055873429e-11,4.867340894193468e-10,5.814948734940034e-06
11.0,10.986181174769882,0.0013864003392222337,0.9992419331005562,1.0012578370054421,1.0017578610860787e-06,8.257193213434122e-11,4.863615444575396e-10,5.929505127248062e-06
11.01,10.996187475706058,0.0014016175533034048,0.9992451552854972,1.001256119389057,1.0017576530267388e-06,8.319042395271131e-11,4.85990192072806e-10,6.045113582681168e-06
11.02,11.006193731754836,0.0014168624156650148,0.9992483611976477,1.0012544089793123,1.0017574430668914e-06,8.380539590068161e-11,4.856200258101194e-10,6.16177236952716e-06
11.03,11.016199943077005,0.0014321349513632096,0.9992515509084012,1.0012527057419347,1.0017572312096869e-06,8.441686275304782e-11,4.852510392519349e-10,6.279479762512756e-06
11.04,11.026206109832641,0.0014474351854539946,0.9992547244887692,1.0012510096428415,1.0017570174582716e-06,8.502483920731389e-11,4.848832260173415e-10,6.398234042567366e-06
11.05,11.03621223218109,0.0014627631429932372,0.9992578820093753,1.0012493206481392,1.0017568018157814e-06,8.562933988157441e-11,4.845165797601565e-10,6.5180334968971685e-06
11.06,11.046218310280945,0.0014781188490366583,0.9992610235404424,1.0012476387241258,1.0017565842853304e-06,8.62303793102795e-11,4.841510941723138e-10,6.6388764191275795e-06
11.07,11.056224344290099,0.0014935023286398452,0.9992641491518173,1.0012459638372855,1.0017563648700267e-06,8.682797195143451e-11,4.83786762980264e-10,6.760761109033437e-06
11.08,11.066230334365729,0.0015089136068582427,0.9992672589129694,1.001244295954288,1.0017561435729703e-06,8.742213218490605e-11,4.834235799466681e-10,6.883685872538699e-06
11.09,11.0762362806643,0.0015243527087471544,0.9992703528929917,1.0012426350419887,1.0017559203972528e-06,8.801287431475125e-11,4.830615388699745e-10,7.0076490217164665e-06
11.1,11.086242183341577,0.0015398196593617434,0.9992734311606003,1.0012409810674257,1.0017556953459522e-06,8.860021256688846e-11,4.827006335835715e-10,7.132648874788977e-06
11.11,11.096248042552602,0.0015553144837570324,0.9992764937841345,1.0012393339978216,1.0017554684221364e-06,8.918416108994427e-11,4.823408579559994e-10,7.258683756127609e-06
11.120000000000001,11.106253858451721,0.0015708372069879063,0.9992795408315569,1.0012376938005807,1.0017552396288574e-06,8.976473395440649e-11,4.81982205889468e-10,7.385751996252907e-06
11.13,11.116259631192557,0.0015863878541091004,0.9992825723704533,1.0012360604432886,1.0017550089691507e-06,9.034194515241237e-11,4.816246713207036e-10,7.513851931834482e-06
11.14,11.126265360928063,0.0016019664501752177,0.9992855884680512,1.0012344338937098,1.0017547764460483e-06,9.091580860431313e-11,4.812682482217964e-10,7.64298190546767e-06
11.15,11.136271047810496,0.001617573020240716,0.999288589191214,1.001232814119786,1.0017545420625715e-06,9.14863381552858e-11,4.809129305972353e-10,7.773140265743544e-06
11.16,11.14627669199141,0.0016332075893599135,0.9992915746064297,1.0012312010896383,1.0017543058217215e-06,9.205354757109808e-11,4.805587124866613e-10,7.904325367383792e-06
